id;Название;Старт;;Финиш;;Рейтинг;Год;"Дата изменения добавления";Удален
1;"Колодищи пересение M2";53.951457;27.780479;53.967218;27.752448;9;2022
2;"Поворот на Глебковичи Колодищи";53.924604;27.841355;53.928383;27.740338;8;2022
3;"Старина Поворот на глебковичи";53.945487;27.842278;53.924604;27.841355;4;2022
4;"Городище  М2";53.980383;27.837616;53.995138;27.825441;9;2022
5;"Старина колодищи";53.945692;27.842231;53.950178;27.78795;4;2022
6;"Городище Старина";53.980386;27.837602;53.945692;27.842231;9;2022
7;"Лесковка Боровляны";54.002557;27.727817;53.999818;27.676329;4;2022
8;"Дуброва трасса М3";54.101523;27.815746;54.121661;27.807523;1;2022
9;"Прилепы  Дуброва";54.073503;27.837867;54.101523;27.815746;4;2022
10;"Усяж Прилепы";54.093741;27.911064;54.073503;27.837867;6;2022
11;"Новолукомль Крупки";54.326293;29.057681;54.629611;29.089557;4;2022
12;"M1 поворот на Борисов - Борисов";54.268274;28.682419;54.255485;28.571455;6;2022
13;"Мкад Уручье - Мкад Цнянка";53.942627;27.672367;53.969792;27.543606;8;2022
14;"Лесковка Курган Славы";54.002498;27.728734;53.988988;27.798254;8;2022
15;"Мкад Ангарская  Мкад Уручье";53.861903;27.68413;53.942545;27.678808;8;2022
16;"Привольный Мкад";53.806732;27.789622;53.861903;27.68413;7;2022
17;"Мкад 2 (М1)  Привольный";53.951713;27.982526;53.806732;27.789622;6;2022
18;"Курган славы Мкад 2";54.013856;27.880136;53.953235;27.973042;6;2022
19;"Мкад Королев стан";53.942376;27.679404;53.998201;27.825589;10;2022
20;"Мкад 2 (развязка на Витебск)  Боровая";54.051819;27.702767;53.961592;27.632552;5;2022
21;"Цнянка Семково";53.985772;27.529406;53.998022;27.450409;6;2022
22;"Мкад 2 (развязка на Витебск) цнянка";54.054742;27.712795;53.986836;27.532006;7;2022
23;"Березено Борисов";53.825493;28.963154;54.172643;28.579186;7;2022
24;"Лепель Новолукомль";54.868736;28.708427;54.701113;29.137779;8;2022
25;"Могилев Орша";53.994757;30.465355;54.484603;30.437832;9;2022
26;"Смиловичи Могилев";53.759367;28.015243;53.950859;30.2181;10;2022
27;"Слобода (Смолевичи) - Червень";53.994945;28.133725;53.729512;28.423146;7;2022
28;"Слобода (Смолевичи) - Смиловичи";53.985985;28.106345;53.761108;28.017847;8;2022
29;"Орша  Борисов (M1)";54.516074;30.321544;54.269215;28.687701;7;2022
30;"Бегомль Лепель";54.729795;28.0653;54.867653;28.705613;7;2022
31;"Борисов - Мкад 2 (M1)";54.172082;28.572077;53.951456;27.98125;1;2022
32;"Смолевичи Борисов (не М1)";54.013402;27.878846;54.194816;28.467823;8;2022
33;"От Логойска до Смолевич";54.137072;27.890741;54.047876;28.065293;8;2022
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;1;2022;"2022-06-20 19:26:12"
35;"Мкад 2 Слобода -Острашицкий городок";54.00254;27.836728;54.054425;27.713368;8;2022
36;"Логойск - Бегомль";54.20613;27.821932;54.72852;28.062439;6;2022
37;"Мкад 2 -Логойск";54.054425;27.713368;54.20613;27.821932;5;2022;"2022-07-11 23:04:35"
38;"метка 4";54.207433;27.821436;54.138846;27.890146;7;2022
39;"Задомля Прилепы";54.030910;27.870711;54.073442;27.837780;6;2022
40;"Задомля Прилепы";54.030910;27.870711;54.073442;27.837780;9;2021
41;"Смиловичи Могилев";53.759367;28.015243;53.950859;30.2181;2;2021
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;9;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;1;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;9;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;1;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;10;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;1;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;10;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;1;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;10;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;1;2022;"2022-06-20 19:26:12"
11;"Новолукомль Крупки";54.326293;29.057681;54.629611;29.089557;3;2022
33;"От Логойска до Смолевич";54.137072;27.890741;54.047876;28.065293;6;2022
32;"Смолевичи Борисов (не М1)";54.013402;27.878846;54.194816;28.467823;7;2022
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;1;2022;"2022-06-20 19:26:12"
36;"Логойск - Бегомль";54.20613;27.821932;54.72852;28.062439;6;2022
36;"Логойск - Бегомль";54.20613;27.821932;54.72852;28.062439;6;2022
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;1;2022;"2022-06-20 19:26:12"
29;"Орша  Борисов (M1)";54.516074;30.321544;54.269215;28.687701;7;2022
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;5;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;1;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;7;2022;"2022-06-20 19:26:12"
34;"От Логойска  на Жодино";54.138846;27.890146;54.101811;28.286225;1;2022;"2022-06-20 19:26:12"
23;"Березено Борисов";53.825493;28.963154;54.172643;28.579186;6;2022
23;"Березено Борисов";53.825493;28.963154;54.172643;28.579186;5;2022;"2022-06-20 18:24:02"
12;"M1 поворот на Борисов - Борисов";54.268274;28.682419;54.255485;28.571455;5;2022;"2022-06-20 18:52:22"
68;"Дорога через Смолевичи, первый съезд от минска";54.039163;28.049348;53.991129;28.105940;7;2022;"2022-06-20 18:55:13"
69;"Логойск - Жодино";54.138627;27.891648;54.101855;28.285885;1;2022;"2022-06-20 19:28:33"
69;"Логойск - Жодино ver 2";54.138627;27.891648;54.101855;28.285885;2;2022;"2022-06-20 19:33:27"
69;"Логойск - Жодино";54.138627;27.891648;54.101855;28.285885;1;2022;"2022-06-20 19:33:43"
36;"Логойск - Бегомль";54.20613;27.821932;54.72852;28.062439;5;2022;"2022-06-20 19:37:17"
73;"Минск 9-ый - Боровая";53.958171;27.724230;53.964251;27.672158;3;2022;"2022-06-20 19:39:34"
74;"Боровая - М3";53.964251;27.672158;53.966470;27.648844;7;2022;"2022-06-20 19:40:43"
75;"Колодищи Радиоцентр - Сухорукие";53.955533;27.776160;53.941863;" 27.729224";4;2022;"2022-06-20 19:42:33"
76;"P53 - Домашаны";54.022965;27.931585;54.005047;27.943595;7;2022;"2022-06-20 19:44:31"
77;"Светиловичи - Стефаново";53.938832;29.814213;53.982399;29.846702;4;2022;"2022-06-20 19:46:52"
78;Стефаново;53.938832;29.814213;53.935936;" 29.803577";1;2022;"2022-06-20 19:47:47"
79;"М-8 - д. Яковлевичи ";54.320380;30.552856;54.314158;30.447716;6;2022;"2022-06-20 23:05:03"
69;"Логойск - Жодино ver 2";54.138627;27.891648;54.101855;28.285885;1;2022;"2022-06-21 08:07:49"
81;"Логойск - Сосенка ";54.208396;27.820063;54.508524;27.223598;3;2022;"2022-07-02 01:06:08"
81;"Логойск - Сосенка ";54.208396;27.820063;54.508524;27.223598;2;2022;"2022-07-02 01:06:39"
81;"Логойск - Сосенка ";54.208396;27.820063;54.508524;27.223598;3;2022;"2022-07-02 01:07:01"
84;"Сосенка Борисов";54.508524;27.223598;54.249770;28.468447;7;2022;"2022-07-02 01:08:23"
11;"Новолукомль Крупки";54.326293;29.057681;54.629611;29.089557;2;2022;"2022-07-02 16:45:57"
86;"Долгиновский тракт - Притыцкого";53.969552;27.537339;53.911674;27.403695;8;2022;"2022-07-03 18:19:31"
87;"Притыцкого Мкад - Раков";53.911674;" 27.403695";53.963478;" 27.092906";10;2022;"2022-07-03 18:20:49"
88;"Раков - Мостки";53.963478;" 27.092906";53.882105;25.749308;10;2022;"2022-07-03 18:23:02"
87;"Притыцкого Мкад - Раков";53.911674;" 27.403695";53.963478;" 27.092906";9;2022;"2022-07-04 19:47:23"
87;"Притыцкого Мкад - Раков";53.911674;" 27.403695";53.963478;" 27.092906";10;2022;"2022-07-04 19:47:33"
29;"Орша  Борисов (M1)";54.516074;30.321544;54.269215;28.687701;6;2022;"2022-07-06 12:41:11"
29;"Орша  Борисов (M1)";54.516074;30.321544;54.269215;28.687701;6;2022;"2022-07-06 12:41:31"
69;"Логойск - Жодино ver 2";54.138627;27.891648;54.101855;28.285885;2;2022;"2022-07-11 14:37:12"
69;"Логойск - Жодино";54.138627;27.891648;54.101855;28.285885;2;2022;"2022-07-11 14:38:48"
69;"Логойск - Жодино ver 2";54.138627;27.891648;54.101855;28.285885;1;2022;"2022-07-11 14:59:21"
96;"Привольный - Марьина Горка";53.801928;27.799582;53.549130;28.162658;6;2022;"2022-07-12 15:34:13"
97;"Марьина Горка - Бобруйск";53.548183;28.164020;53.209515;29.061933;10;2022;"2022-07-12 15:35:38"
98;test;54.765358;26.092410;54.698601;27.130618;1;2022;"2022-07-12 15:47:01";Y
37;"Мкад 2 -Логойск";54.054425;27.713368;54.20613;27.821932;4;2022;"2022-07-12 15:53:54"
37;"Мкад 2 -Логойск";54.054425;27.713368;54.20613;27.821932;5;2022;"2022-07-12 16:21:10"
37;"Мкад 2 -Логойск";54.054425;27.713368;54.20613;27.821932;4;2022;"2022-07-12 16:21:20"
37;"Мкад 2 -Логойск";54.054425;27.713368;54.20613;27.821932;6;2022;"2022-07-12 16:25:45"
37;"Мкад 2 -Логойск";54.054425;27.713368;54.20613;27.821932;4;2022;"2022-07-12 16:25:56"
104;"Бобруйск - Кольцевая Бобруйск ";53.209044;29.062839;53.221306;29.339728;10;2022;"2022-07-12 16:30:46"
105;"Бобруйск Кольцевая - Жлобин";53.221306;29.339728;52.928250;30.008607;10;2022;"2022-07-12 16:31:34"
